-0.074,-0.115,0.062,-0.171,-0.07,-0.113,-0.118,-0.167,-0.03,-0.123
-0.073,-0.105,0.062,-0.165,-0.071,-0.121,-0.111,-0.158,-0.059,-0.117
-0.081,-0.094,0.061,-0.155,-0.082,-0.125,-0.102,-0.146,-0.083,-0.108
-0.096,-0.084,0.059,-0.142,-0.099,-0.121,-0.092,-0.132,-0.102,-0.097
-0.115,-0.075,0.053,-0.127,-0.121,-0.116,-0.083,-0.117,-0.115,-0.088
-0.135,-0.071,0.041,-0.112,-0.142,-0.107,-0.073,-0.1,-0.123,-0.078
-0.152,-0.074,0.023,-0.097,-0.158,-0.096,-0.067,-0.088,-0.125,-0.071
-0.163,-0.084,-0.002,-0.084,-0.17,-0.086,-0.065,-0.076,-0.121,-0.069
-0.171,-0.102,-0.03,-0.076,-0.175,-0.076,-0.07,-0.07,-0.113,-0.075
-0.173,-0.121,-0.057,-0.071,-0.175,-0.07,-0.083,-0.07,-0.104,-0.088
-0.169,-0.142,-0.083,-0.075,-0.17,-0.069,-0.101,-0.075,-0.093,-0.107
-0.162,-0.158,-0.102,-0.083,-0.159,-0.075,-0.122,-0.086,-0.083,-0.127
-0.15,-0.168,-0.116,-0.093,-0.146,-0.09,-0.141,-0.098,-0.073,-0.146
-0.136,-0.173,-0.123,-0.104,-0.129,-0.11,-0.156,-0.109,-0.068,-0.16
-0.121,-0.173,-0.125,-0.113,-0.114,-0.13,-0.165,-0.117,-0.068,-0.169
-0.107,-0.168,-0.123,-0.118,-0.098,-0.148,-0.168,-0.12,-0.076,-0.171
-0.093,-0.158,-0.117,-0.12,-0.084,-0.162,-0.165,-0.117,-0.092,-0.168
-0.083,-0.146,-0.108,-0.115,-0.075,-0.17,-0.159,-0.11,-0.112,-0.161
-0.075,-0.13,-0.096,-0.109,-0.07,-0.171,-0.148,-0.1,-0.133,-0.149
-0.073,-0.115,-0.084,-0.097,-0.07,-0.168,-0.134,-0.089,-0.149,-0.136
-0.078,-0.099,-0.075,-0.086,-0.076,-0.16,-0.118,-0.075,-0.162,-0.121
-0.088,-0.087,-0.068,-0.072,-0.087,-0.147,-0.102,-0.062,-0.168,-0.105
-0.097,-0.078,-0.068,-0.06,-0.099,-0.134,-0.088,-0.047,-0.17,-0.091
